Fecha;Estación;Fósforo total (µg P/L);Nitrógeno total (mg N/L);Oxigeno disuelto (mg/L);Potencial de hidrogeno (pH) ;Temperatura (ºC);Ch-a ug/L
28/05/2009;RN9F;86.4;0.69;6.21;6.97;16.9;
17/09/2009;RN9F;54;0.71;8.78;7.35;15;1.7
03/06/2010;RN9F;67;0.595;8.63;7.34;15.2;8.3
06/08/2010;RN9F;74;0.48;10.12;7.63;9.1;0.3
03/12/2010;RN9F;71.3;0.65;7.48;7.36;22.7;1.9
01/04/2011;RN9F;68.8;0.32;8.52;7.35;21;0.1
27/05/2011;RN9F;95.1;0.85;8.14;7.64;15;0.3
19/01/2012;RN9F;78;0.5;7.77;7.92;25.3;8
22/03/2012;RN9F;82.9;0.51;7.31;6.9;24.5;1.2
16/08/2012;RN9F;92.1;0.73;9.29;7.45;14.8;0.9
07/12/2012;RN9F;88.5;0.62;7.38;7.1;24.9;5.8
21/02/2013;RN9F;90.4;0.54;6.68;7.43;23.4;1.2
04/07/2013;RN9F;122;0.54;10.22;8.23;12.7;1.3
06/02/2014;RN9F;830;0.78;7.38;6.32;23.9;0.4
22/05/2014;RN9F;260;0.68;9.5;7.77;16;
31/07/2014;RN9F;119;0.76;10.8;7.19;13.7;0.1
27/11/2014;RN9F;92.2;1.07;7.95;7.39;22.1;0.6
19/03/2015;RN9F;110;0.53;7.38;7.76;26.1;1.3
05/06/2015;RN9F;84;0.54;8.94;7.81;17.4;1.8
03/09/2015;RN9F;85;0.7;9.94;7.06;15.4;0.9
03/12/2015;RN9F;89;0.87;8.21;7.65;22.9;0.6
25/02/2016;RN9F;120;0.54;6.98;7.86;28.2;2.1
26/05/2016;RN9F;85;0.69;11.09;7.36;14.1;1.3
22/09/2016;RN9F;48;0.76;11.5;7.21;15.3;0.1
23/11/2016;RN9F;71;0.76;8.75;5.97;22.8;
06/07/2017;RN9F;82;0.61;10.33;7.61;14.6;
05/10/2017;RN9F;68;0.73;9.92;6.23;18.4;
17/01/2018;RN9F;110;0.66;8.47;7.97;26.3;17
12/04/2018;RN9F;85;0.4;9.04;7.71;22.7;10
05/07/2018;RN9F;110;0.94;10.24;7.57;11.6;
26/09/2018;RN9F;89;0.76;9.29;5.99;18.4;
17/01/2019;RN9F;67;0.7;7.01;6.89;24.2;
21/03/2019;RN9F;48;0.75;7.84;7.5;22.6;
27/06/2019;RN9F;170;0.82;9.11;6.9;14.7;
10/10/2019;RN9F;66;0.85;9;6.88;17.5;
30/01/2020;RN9F;50;0.75;7.7;7.84;25.5;2.3
07/05/2020;RN9F;120;0.5;9.67;7.05;17.3;
09/09/2021;RN9F;100;0.79;9.52;8.04;15.4;
02/12/2021;RN9F;87.5;0.79;8.27;8.09;23;
20/01/2022;RN9F;160;1.12;9.8;6.92;13.2;2.2
